GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vuelo,dmsnur.Application.UseCases.Command.Tripulantes.Eliminar,EliminarTripulanteHandler,33,0,2,0,9,0,3,0,2,0
vuelo,dmsnur.Application.UseCases.Command.Tripulantes.Eliminar,EliminarTripulanteCommand,12,0,0,0,4,0,1,0,1,0
vuelo,dmsnur.Infraestructure.Repository,VueloRepository,58,0,0,0,11,0,9,0,9,0
vuelo,dmsnur.Infraestructure.Repository,TripulanteRepository,58,0,0,0,11,0,9,0,9,0
vuelo,dmsnur.Infraestructure.Repository,AeronaveRepository,58,0,0,0,11,0,9,0,9,0
vuelo,dmsnur.WebApi,Extensions,10,0,0,0,5,0,2,0,2,0
vuelo,dmsnur.Application.UseCases.Queries.Vuelos.GetByKey,GetVueloByKeyHandler,71,0,2,0,17,0,4,0,3,0
vuelo,dmsnur.Application.UseCases.Queries.Vuelos.GetByKey,GetVueloByKeyQuery,6,0,0,0,3,0,1,0,1,0
vuelo,dmsnur.WebApi.Controllers,TripulanteController,39,0,0,0,9,0,6,0,6,0
vuelo,dmsnur.WebApi.Controllers,VueloController,75,0,0,0,18,0,6,0,6,0
vuelo,dmsnur.SharedKernel.mediator,IMediator,107,0,6,0,33,0,10,0,7,0
vuelo,dmsnur.SharedKernel.mediator,AggregateException,9,0,0,0,4,0,2,0,2,0
vuelo,dmsnur.SharedKernel.mediator,MediatorPlanRequest,94,0,4,0,20,0,5,0,3,0
vuelo,dmsnur.SharedKernel.mediator,MediatorPlanNotify,101,0,4,0,23,0,6,0,4,0
vuelo,dmsnur.SharedKernel.mediator,Response,14,0,2,0,3,0,4,0,3,0
vuelo,dmsnur.Infraestructure.Context.MongoDB,WriteDbContext,292,0,14,0,65,0,27,0,20,0
vuelo,dmsnur.Infraestructure.Context.MongoDB,testMongo,167,0,8,0,52,0,11,0,7,0
